Name, x,y

//Park
P1,612,340
P2,582,364
P3,566,345
P4,604,305

/Quay
P41,569,250
P5,581,254
P6,534,267
P7,570,265
P8,552,266
P9,513,224
P10,497,218
P11,484,211
P12,475,206
P13,461,196

//Above bridge
P14,460,205
P15,455,219
P16,477,239

//From Reginald to Double Tower
P17,571,277
P18,559,287
P19,538,306
P20,528,316
P21,522,327
P22,503,366

//Above WIT
P23,469,328
P24,465,332
P25,478,318
P26,495,302
P27,509,301

//Around Bull Post
P28,512,267
P29,494,267
P30,487,266
P31,488,247
P32,472,233
P33,465,277
P34,455,219
P35,452,223
P36,457,239
P37,468,258
P38,457,276
P39,461,306
P40,479,348








